crate	version	spdx_license	registry_source	crate_sha256	vendor_directory	legal_files	legal_provenance
unicode-normalization	0.1.25	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	5fd4f6878c9cb28d874b009da9e8d183b5abc80117c40bbd187a1fde336be6e8	unicode-normalization-0.1.25	COPYRIGHT;LICENSE-APACHE;LICENSE-MIT	crate:unicode-normalization-0.1.25/COPYRIGHT;crate:unicode-normalization-0.1.25/LICENSE-APACHE;crate:unicode-normalization-0.1.25/LICENSE-MIT
unicode-segmentation	1.13.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	c6f5d3c3b1bf09027a88a6bc961fc00497d651009560b5463668dc81b0fa87a8	unicode-segmentation-1.13.3	COPYRIGHT;LICENSE-APACHE;LICENSE-MIT	crate:unicode-segmentation-1.13.3/COPYRIGHT;crate:unicode-segmentation-1.13.3/LICENSE-APACHE;crate:unicode-segmentation-1.13.3/LICENSE-MIT
url	2.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	143b538f18257fac9cad154828a57c6bf5157e1aa604d4816b5995bf6de87ae5	url-2.4.1	LICENSE-APACHE;LICENSE-MIT	crate:url-2.4.1/LICENSE-APACHE;crate:url-2.4.1/LICENSE-MIT
windows-core	0.58.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	6ba6d44ec8c2591c134257ce647b7ea6b20335bf6379a27dac5f1641fcf59f99	windows-core-0.58.0	license-apache-2.0;license-mit	crate:windows-core-0.58.0/license-apache-2.0;crate:windows-core-0.58.0/license-mit
windows-implement	0.58.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	2bbd5b46c938e506ecbce286b6628a02171d56153ba733b6c741fc627ec9579b	windows-implement-0.58.0	license-apache-2.0;license-mit	crate:windows-implement-0.58.0/license-apache-2.0;crate:windows-implement-0.58.0/license-mit
windows-interface	0.58.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	053c4c462dc91d3b1504c6fe5a726dd15e216ba718e84a0e46a88fbe5ded3515	windows-interface-0.58.0	license-apache-2.0;license-mit	crate:windows-interface-0.58.0/license-apache-2.0;crate:windows-interface-0.58.0/license-mit
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	f0805222e57f7521d6a62e36fa9163bc891acd422f971defe97d64e70d0a4fe5	windows-link-0.2.1	license-apache-2.0;license-mit	crate:windows-link-0.2.1/license-apache-2.0;crate:windows-link-0.2.1/license-mit
windows-result	0.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	1d1043d8214f791817bab27572aaa8af63732e11bf84aa21a45a78d6c317ae0e	windows-result-0.2.0	license-apache-2.0;license-mit	crate:windows-result-0.2.0/license-apache-2.0;crate:windows-result-0.2.0/license-mit
windows-strings	0.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	4cd9b125c486025df0eabcb585e62173c6c9eddcec5d117d3b6e8c30e2ee4d10	windows-strings-0.1.0	license-apache-2.0;license-mit	crate:windows-strings-0.1.0/license-apache-2.0;crate:windows-strings-0.1.0/license-mit
windows-sys	0.59.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	1e38bc4d79ed67fd075bcc251a1c39b32a1776bbe92e5bef1f0bf1f8c531853b	windows-sys-0.59.0	license-apache-2.0;license-mit	crate:windows-sys-0.59.0/license-apache-2.0;crate:windows-sys-0.59.0/license-mit
windows-targets	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	9b724f72796e036ab90c1021d4780d4d3d648aca59e491e6b98e725b84e99973	windows-targets-0.52.6	license-apache-2.0;license-mit	crate:windows-targets-0.52.6/license-apache-2.0;crate:windows-targets-0.52.6/license-mit
windows	0.58.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	dd04d41d93c4992d421894c18c8b43496aa748dd4c081bac0dc93eb0489272b6	windows-0.58.0	license-apache-2.0;license-mit	crate:windows-0.58.0/license-apache-2.0;crate:windows-0.58.0/license-mit
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	589f6da84c646204747d1270a2a5661ea66ed1cced2631d546fdfb155959f9ec	windows_x86_64_msvc-0.52.6	license-apache-2.0;license-mit	crate:windows_x86_64_msvc-0.52.6/license-apache-2.0;crate:windows_x86_64_msvc-0.52.6/license-mit
winreg	0.55.0	MIT	registry+https://github.com/rust-lang/crates.io-index	cb5a765337c50e9ec252c2069be9bf91c7df47afb103b642ba3a53bf8101be97	winreg-0.55.0	LICENSE	crate:winreg-0.55.0/LICENSE
